compute_time,download_size,download_time,image,library,upload_size,upload_time
0.010753,1000297,2.470534,1Mb,pillow,1417,0.339645
0.010713,1000297,3.068452,1Mb,pillow,1417,0.45839
0.010797,1000297,3.542292,1Mb,pillow,1417,0.394512
0.011591,1000297,1.810905,1Mb,pillow,1417,0.385628
0.010703,1000297,2.943023,1Mb,pillow,1417,0.379145
0.010688,1000297,3.440934,1Mb,pillow,1417,0.394667
0.010709,1000297,2.97806,1Mb,pillow,1417,0.346772
0.010744,1000297,1.780095,1Mb,pillow,1417,0.415947
0.010717,1000297,1.970235,1Mb,pillow,1417,0.431849
0.010785,1000297,1.420256,1Mb,pillow,1417,0.57034
0.010696,1000297,1.59515,1Mb,pillow,1417,0.401862
0.010827,1000297,2.542039,1Mb,pillow,1417,0.472126
0.010809,1000297,2.97429,1Mb,pillow,1417,0.423849
0.010744,1000297,3.064803,1Mb,pillow,1417,0.362313
0.010687,1000297,2.938203,1Mb,pillow,1417,0.41486
0.010719,1000297,1.837678,1Mb,pillow,1417,0.360089
0.011014,1000297,1.997453,1Mb,pillow,1417,0.439184
0.010758,1000297,3.033036,1Mb,pillow,1417,0.391613
0.011038,1000297,3.049207,1Mb,pillow,1417,0.373982
0.011264,1000297,4.15815,1Mb,pillow,1417,0.393646
0.011534,1000297,1.763516,1Mb,pillow,1417,0.427217
0.010782,1000297,3.149014,1Mb,pillow,1417,0.375116
0.010877,1000297,2.245648,1Mb,pillow,1417,0.461648
0.010745,1000297,2.359398,1Mb,pillow,1417,0.450809
0.01072,1000297,3.148221,1Mb,pillow,1417,0.380003
0.010845,1000297,3.240915,1Mb,pillow,1417,0.487734
0.010735,1000297,2.344226,1Mb,pillow,1417,0.464601
0.010755,1000297,2.276395,1Mb,pillow,1417,0.429629
0.010799,1000297,1.686194,1Mb,pillow,1417,0.404233
